kamar	room / bedroom	household	Kamarnya di lantai dua.	The room is on the second floor.
kamar mandi	bathroom	household	Kamar mandinya di belakang.	The bathroom is at the back.
dapur	kitchen	household	Ibu ada di dapur.	Mum is in the kitchen.
ruang tamu	living room	household	Tamunya menunggu di ruang tamu.	The guest is waiting in the living room.
halaman	yard / page	household	Halamannya luas, ada pohon mangga.	The yard is big; there's a mango tree.
pintu	door	household	Pintunya dikunci dari dalam.	The door is locked from the inside.
jendela	window	household	Jendelanya dibuka biar segar.	Open the window so it gets some air.
lantai	floor / storey	household	Lantainya masih basah, hati-hati.	The floor is still wet — be careful.
atap	roof	household	Atapnya bocor kalau hujan deras.	The roof leaks in heavy rain.
tangga	stairs / ladder	household	Tangganya curam, pegangan ya.	The stairs are steep — hold on.
meja	table / desk	household	Taruh saja di atas meja.	Just put it on the table.
kursi	chair	household	Kursinya kurang satu.	We're one chair short.
kasur	mattress / bed	household	Kasurnya empuk sekali.	The mattress is really soft.
bantal	pillow	household	Bantalnya jangan lupa dijemur.	Don't forget to air the pillow out.
selimut	blanket	household	Pakai selimut, nanti masuk angin.	Use a blanket or you'll catch a chill.
lemari	cupboard / wardrobe	household	Bajunya sudah saya masukkan ke lemari.	I've put the clothes in the wardrobe.
rak	shelf / rack	household	Bukunya di rak paling atas.	The book is on the top shelf.
kulkas	fridge	household	Simpan sayurnya di kulkas.	Put the vegetables in the fridge.
kompor	stove	household	Kompornya jangan lupa dimatikan.	Don't forget to turn the stove off.
kipas angin	electric fan	household	Nyalakan kipas angin, panas sekali.	Turn the fan on — it's really hot.
AC	air conditioning	household	AC-nya rusak dari kemarin.	The air conditioning has been broken since yesterday.
lampu	lamp / light	household	Lampunya redup, ganti saja.	The light is dim — just replace it.
listrik	electricity	household	Listriknya padam sebentar tadi.	The power went out for a while earlier.
colokan	power outlet / socket	household	Colokannya ada di dekat pintu.	The socket is near the door.
kunci	key; to lock	household	Kuncinya ketinggalan di rumah.	The key was left at home.
ember	bucket	household	Embernya penuh air hujan.	The bucket is full of rainwater.
sabun	soap	household	Sabunnya habis, beli lagi ya.	The soap has run out — buy some more.
handuk	towel	household	Handuknya masih basah.	The towel is still wet.
sikat gigi	toothbrush	household	Sikat giginya jangan lupa dibawa.	Don't forget to bring your toothbrush.
piring	plate	household	Piringnya sudah dicuci semua.	All the plates have been washed.
gelas	glass / cup	household	Tolong ambilkan gelas satu.	Please get me a glass.
sendok	spoon	household	Sendoknya kurang dua.	We're two spoons short.
garpu	fork	household	Di sini biasanya makan pakai tangan, bukan garpu.	Here people usually eat with their hands, not a fork.
pisau	knife	household	Pisaunya tumpul, susah motong.	The knife is blunt; it's hard to cut with.
panci	pot / saucepan	household	Air di panci sudah mendidih.	The water in the pot is boiling.
wajan	wok / frying pan	household	Panaskan wajannya dulu.	Heat the wok first.
sampah	rubbish / trash	household	Sampahnya sudah menumpuk.	The rubbish has piled up.
cermin	mirror	household	Cerminnya retak sedikit.	The mirror is slightly cracked.
jam dinding	wall clock	household	Jam dindingnya mati, baterainya habis.	The wall clock has stopped; the battery is dead.
televisi	television	household	Televisinya nyala terus dari tadi.	The TV has been on this whole time.
HP	mobile phone (from "handphone")	household	HP saya lowbat.	My phone is low on battery.
kabel	cable / cord	household	Kabelnya kusut semua.	The cables are all tangled.
tas	bag	household	Tasnya ketinggalan di angkot.	The bag was left in the minibus.
dompet	wallet / purse	household	Dompetnya ada di saku belakang.	The wallet is in the back pocket.
payung	umbrella	household	Bawa payung, mendung.	Bring an umbrella — it's overcast.
berantakan	messy / in disarray	household	Kamarnya berantakan sekali.	The room is a complete mess.
rapi	tidy / neat	household	Sekarang sudah rapi lagi.	It's tidy again now.
