selamat pagi	good morning	greeting	Selamat pagi, Pak! Sudah sarapan?	Good morning, sir! Have you had breakfast?
selamat siang	good day (around midday)	greeting	Selamat siang, ada yang bisa saya bantu?	Good afternoon, is there anything I can help with?
selamat sore	good afternoon (late afternoon)	greeting	Selamat sore, baru pulang kerja?	Good afternoon — just back from work?
selamat malam	good evening / good night	greeting	Selamat malam, hati-hati di jalan.	Good night, take care on the way.
selamat tidur	good night (going to bed)	greeting	Selamat tidur, sampai besok.	Good night, see you tomorrow.
selamat datang	welcome	greeting	Selamat datang di rumah kami.	Welcome to our home.
selamat jalan	safe travels (said to the one leaving)	greeting	Selamat jalan, kabari kalau sudah sampai.	Safe travels — let us know when you get there.
selamat tinggal	goodbye (said by the one leaving)	greeting	Selamat tinggal, saya berangkat sekarang.	Goodbye, I'm off now.
halo	hello	greeting	Halo, apa kabar?	Hello, how are you?
hai	hi (casual)	greeting	Hai, lama nggak ketemu!	Hi, long time no see!
apa kabar	how are you	greeting	Apa kabar? Sehat?	How are you? Keeping well?
kabar baik	I'm well (reply to "apa kabar")	greeting	Kabar baik, kamu gimana?	I'm well — how about you?
terima kasih	thank you	greeting	Terima kasih banyak atas bantuannya.	Thank you very much for your help.
sama-sama	you're welcome	greeting	“Terima kasih ya.” “Sama-sama.”	“Thanks.” “You're welcome.”
terima kasih kembali	you're welcome (more formal)	greeting	Terima kasih kembali, senang bisa membantu.	You're welcome — glad I could help.
maaf	sorry / excuse me	greeting	Maaf, saya tidak sengaja.	Sorry, I didn't mean to.
maaf mengganggu	sorry to bother you	greeting	Maaf mengganggu, boleh tanya sebentar?	Sorry to bother you — may I ask something?
permisi	excuse me (passing by or entering)	greeting	Permisi, saya numpang lewat.	Excuse me, just squeezing past.
permisi dulu	excuse me, I'll take my leave	greeting	Permisi dulu, saya harus pulang.	Excuse me — I have to head home.
silakan	please, go ahead / help yourself	greeting	Silakan duduk dulu.	Please have a seat.
mohon	please (formal request)	greeting	Mohon tunggu sebentar.	Please wait a moment.
hati-hati	be careful / take care	greeting	Hati-hati di jalan, ya.	Take care on the road.
sampai jumpa	see you	greeting	Sampai jumpa minggu depan.	See you next week.
sampai nanti	see you later	greeting	Sampai nanti sore.	See you this afternoon.
duluan	going on ahead / leaving first	greeting	Saya duluan ya, sampai besok.	I'm off first — see you tomorrow.
mari	come along / let's (polite)	greeting	Mari, saya antar sampai depan.	Come on, I'll walk you to the gate.
ayo	come on / let's	greeting	Ayo, kita berangkat sekarang.	Come on, let's go now.
salam kenal	nice to meet you (on first meeting)	greeting	Salam kenal, saya Devin.	Nice to meet you — I'm Devin.
senang bertemu	pleased to meet you	greeting	Senang bertemu dengan Anda.	Pleased to meet you.
Anda	you (formal, to a stranger or in writing)	greeting	Apakah Anda sudah pernah ke Bali?	Have you been to Bali before?
selamat ulang tahun	happy birthday	greeting	Selamat ulang tahun, semoga sehat selalu!	Happy birthday — wishing you good health!
selamat makan	enjoy your meal	greeting	Selamat makan, semoga cocok rasanya.	Enjoy your meal — hope you like it.
semoga	hopefully / may (it be so)	greeting	Semoga cepat sembuh.	Hope you get well soon.
semoga sukses	good luck	greeting	Semoga sukses ujiannya besok.	Good luck with your exam tomorrow.
tidak usah	no need (polite refusal)	greeting	Tidak usah, saya bawa sendiri.	No need — I'll carry it myself.
tidak masalah	no problem	greeting	Tidak masalah, saya bisa menunggu.	No problem, I can wait.
kasihan	poor thing / what a shame	greeting	Kasihan, dia sakit sendirian di kos.	Poor thing — he's ill on his own in his boarding room.
titip	to entrust / ask someone to pass something along	greeting	Titip salam buat keluarga di rumah.	Say hello to the family at home for me.
