makanan	food	food	Makanannya sudah siap di meja.	The food is ready on the table.
minuman	drink	food	Mau minuman dingin atau hangat?	Would you like a cold drink or a warm one?
sarapan	breakfast	food	Saya sarapan roti dan kopi.	I have bread and coffee for breakfast.
makan siang	lunch	food	Makan siang di warung depan saja.	Let's just have lunch at the warung out front.
makan malam	dinner	food	Makan malam biasanya jam tujuh.	Dinner is usually at seven.
roti	bread	food	Beli roti dua bungkus, ya.	Buy two packs of bread, please.
telur	egg	food	Telurnya digoreng atau direbus?	Fried eggs or boiled?
ikan	fish	food	Ikannya bakar saja, jangan digoreng.	Just grill the fish; don't fry it.
daging	meat	food	Dagingnya masih keras, rebus lagi.	The meat is still tough; boil it longer.
sapi	cow / beef	food	Ini soto daging sapi.	This is beef soto.
kambing	goat	food	Sate kambing di sini terkenal.	The goat satay here is famous.
udang	shrimp / prawn	food	Saya alergi udang.	I'm allergic to shrimp.
sayur	vegetable	food	Jangan lupa makan sayur.	Don't forget to eat your vegetables.
buah	fruit	food	Buahnya manis sekali.	The fruit is really sweet.
pisang	banana	food	Pisang gorengnya masih hangat.	The fried bananas are still warm.
mangga	mango	food	Mangga di pohon itu sudah matang.	The mangoes on that tree are ripe.
jeruk	orange / citrus	food	Minum jeruk hangat kalau batuk.	Drink warm citrus if you have a cough.
kelapa	coconut	food	Es kelapa muda paling segar.	Young coconut ice is the most refreshing thing.
bawang	onion / garlic	food	Tumis bawangnya sampai harum.	Sauté the onion until it smells fragrant.
cabai / cabe	chili	food	Jangan pakai cabai, saya nggak kuat pedas.	Don't use chili; I can't handle spice.
garam	salt	food	Tambah garam sedikit lagi.	Add a little more salt.
gula	sugar	food	Kopinya tanpa gula, ya.	Coffee without sugar, please.
minyak	oil	food	Minyaknya sudah panas, masukkan ikannya.	The oil is hot; put the fish in.
bumbu	spices / seasoning paste	food	Bumbunya diulek dulu.	Grind the spice paste first.
sambal	chili paste	food	Sambalnya dipisah saja.	Just put the sambal on the side.
kecap	soy sauce	food	Tambah kecap manis sedikit.	Add a bit of sweet soy sauce.
kopi	coffee	food	Kopinya pahit sekali.	The coffee is really bitter.
teh	tea	food	Teh manis hangat satu, ya.	One warm sweet tea, please.
susu	milk	food	Anaknya minum susu sebelum tidur.	Her child drinks milk before bed.
es	ice / iced	food	Es tehnya jangan terlalu manis.	Don't make the iced tea too sweet.
air putih	plain drinking water	food	Minum air putih yang banyak.	Drink plenty of water.
mie	noodles	food	Mie ayamnya enak di sini.	The chicken noodles here are good.
bakso	meatball soup	food	Bakso di gerobak itu paling enak.	The bakso from that cart is the best.
sate	satay, grilled skewers	food	Satenya sepuluh tusuk, ya.	Ten skewers of satay, please.
soto	soto, spiced broth soup	food	Soto ayamnya pakai nasi.	The chicken soto comes with rice.
gado-gado	gado-gado, vegetables in peanut sauce	food	Gado-gado itu sayur dengan bumbu kacang.	Gado-gado is vegetables with peanut sauce.
rendang	rendang, slow-cooked beef	food	Rendangnya dimasak semalaman.	The rendang is cooked overnight.
gorengan	fried snacks	food	Sore-sore enaknya makan gorengan.	Fried snacks are the thing in the late afternoon.
kue	cake / sweet snack	food	Kuenya buatan sendiri.	The cake is homemade.
lapar	hungry	food	Saya lapar, belum makan dari pagi.	I'm hungry — I haven't eaten since morning.
haus	thirsty	food	Haus banget, ada air nggak?	I'm so thirsty — is there any water?
kenyang	full (from eating)	food	Sudah kenyang, terima kasih.	I'm full, thank you.
matang	cooked / ripe	food	Nasinya sudah matang.	The rice is cooked.
mentah	raw / uncooked	food	Sayurnya masih mentah.	The vegetables are still raw.
bungkus	to wrap / a packet; takeaway	food	Dibungkus saja, saya bawa pulang.	Wrap it up — I'll take it home.
porsi	portion / serving	food	Satu porsi cukup untuk dua orang.	One portion is enough for two people.
warung	small family-run eatery or shop	food	Warung itu buka sampai malam.	That warung is open until late.
resep	recipe	food	Resepnya dari nenek saya.	The recipe is from my grandmother.
