kan	tag question / seeking agreement — "right?"	particle	Kamu sudah makan, kan?	You've eaten, right?
sih	softener / mild emphasis or curiosity	particle	Kenapa sih kamu diam saja?	Why are you just staying quiet?
dong	insistence — "come on, obviously"	particle	Ayo dong, cepat sedikit!	Come on, hurry it up a bit!
loh / lho	mild surprise, "you know"	particle	Loh, kok kamu sudah pulang?	Huh, how come you're back already?
nih	here — draws attention to something close	particle	Nih, buat kamu.	Here, this is for you.
kok	how come? — surprise or mild complaint	particle	Kok kamu tahu?	How do you know that?
deh	softening a suggestion / conceding a point	particle	Ya sudah deh, ikut saja.	Fine then, just come along.
gitu / begitu	like that — trails off a sentence	particle	Jangan gitu sama adikmu.	Don't be like that with your little brother.
banget	very / so — intensifier	particle	Enak banget masakannya!	The food is so good!
mendingan	better off, rather — for comparing options	particle	Mendingan kita naik ojek daripada jalan kaki.	We're better off taking an ojek than walking.
entar	colloquial for "nanti" — later	particle	Entar dulu, saya belum siap.	Hold on a sec, I'm not ready yet.
makanya	that's why	particle,connector	Makanya, jangan tidur larut malam.	That's why — don't stay up so late.
atuh	Sundanese softener/emphasis particle, no direct translation	particle_sundanese	Ayo atuh, cepat sedikit!	Come on then, hurry up!
mah	Sundanese topic marker, roughly "as for..."	particle_sundanese	Saya mah nggak ikut, capek.	Me, I'm not coming — I'm tired.
udah	colloquial "sudah" — already	grammar	Udah, jangan dipikirin lagi.	Enough, stop thinking about it.
belum	not yet	grammar	Saya belum makan dari pagi.	I haven't eaten since this morning.
nggak / enggak	colloquial "tidak" — not, no	grammar	Aku nggak bisa datang besok.	I can't come tomorrow.
iya	yes / right (softer than "ya")	grammar	Iya, nanti saya kabari.	Yeah, I'll let you know later.
kalau	if / when (conditional)	grammar,connector	Kalau hujan, kita di rumah saja.	If it rains, let's just stay home.
soalnya	because, the thing is...	grammar	Saya pulang duluan, soalnya besok kerja pagi.	I'm heading home first, because I start early tomorrow.
kayaknya	it seems like, I think	grammar	Kayaknya dia lupa deh.	I think he forgot.
gimana	colloquial "bagaimana" — how	grammar	Gimana kabarmu?	How have you been?
biar	so that / "in order to"	grammar	Pelan-pelan biar nggak tumpah.	Slowly, so it doesn't spill.
Mami	Mom (used directly, not "Ibu")	family	Mami, aku pulang!	Mom, I'm home!
Papi / Bapak	Dad	family	Papi lagi di luar, nanti pulang.	Dad's out; he'll be back later.
Mbak	older sister / polite term for young woman	family	Mbak, boleh minta air putih?	Miss, could I get some water?
Dek / Adek	younger sibling, term of endearment	family	Dek, ayo makan dulu.	Hey kiddo, come eat first.
sayangku	my love/darling — affectionate term	family	Selamat pagi, sayangku.	Good morning, my love.
salim	hand-to-forehead greeting gesture for elders	family	Anak-anak salim dulu sama nenek.	The kids kiss their grandmother's hand first.
assalamualaikum	Islamic greeting, "peace be upon you" — used casually arriving/leaving	family	Assalamualaikum, saya pulang!	Assalamualaikum — I'm home!
tahu	tofu	food	Tahu goreng ini enak sekali.	This fried tofu is really good.
lele	catfish	food	Malam ini kita makan pecel lele.	Tonight we're having pecel lele.
santan	coconut milk	food	Sayurnya pakai santan biar gurih.	The dish uses coconut milk so it's rich.
bayam	spinach	food	Ibu masak sayur bayam bening.	Mum made clear spinach soup.
ayam	chicken	food	Saya pesan ayam goreng satu.	I'll order one fried chicken.
nasi	rice	food	Nasinya masih hangat.	The rice is still warm.
enak	tasty, delicious	food,adjective	Masakannya enak sekali.	The cooking is really tasty.
kupingmu	your ear — used scoldingly re: earbuds/headphones	tech	Copot dulu, nanti kupingmu sakit.	Take them out, or your ears will hurt.
aplikasi	application, app	tech	Aplikasinya harus diunduh dulu.	You have to download the app first.
unduh / download	to download	tech	Saya mau unduh filmnya dulu.	I want to download the film first.
ngecas	colloquial — to charge (a device)	tech	HP-ku lagi ngecas, sebentar ya.	My phone is charging, hang on.
kupas / patok	landmark / marker (for giving directions)	errands	Patokannya masjid biru di ujung jalan.	The landmark is the blue mosque at the end of the street.
belok kanan	turn right	errands	Nanti di lampu merah belok kanan.	At the traffic light, turn right.
belok kiri	turn left	errands	Belok kiri setelah warung itu.	Turn left after that warung.
