ada	to have / there is	verb,state	Ada tamu di depan.	There's a guest out front.
ajak	to invite / ask someone along	verb,speech	Ajak adikmu ikut, jangan ditinggal.	Bring your little brother along; don't leave him behind.
ambil	to take	verb,handling	Tolong ambil piring di dapur.	Please get the plate from the kitchen.
antar	to take / deliver	verb,motion	Nanti saya antar kamu ke bandara.	I'll take you to the airport later.
antri	to queue	verb,routine	Kita harus antri dulu di loket.	We have to queue at the counter first.
angkat	to lift / pick up	verb,handling	Tolong angkat kursinya, jangan diseret.	Please lift the chair; don't drag it.
atur	to arrange	verb,work	Siapa yang atur jadwalnya?	Who sets the schedule?
bantu	to help	verb,work	Bisa bantu saya angkat meja ini?	Can you help me lift this table?
bangun	to wake up / build	verb,routine	Saya bangun jam lima tadi pagi.	I woke up at five this morning.
bayar	to pay	verb,money	Saya bayar pakai kartu, ya.	I'll pay by card, okay?
baca	to read	verb,mind	Coba baca pelan-pelan biar paham.	Try reading it slowly so you follow it.
bagi	to divide / share	verb,handling	Kuenya kita bagi rata, ya.	Let's split the cake evenly.
balik	to return	verb,motion	Saya balik lagi ke sini sore nanti.	I'll come back here this afternoon.
bangkit	to rise / get up	verb,motion	Dia jatuh, tapi langsung bangkit lagi.	He fell, but got right back up.
bangun tidur	to wake up	verb,routine	Bangun tidur, saya langsung minum air putih.	As soon as I wake up, I drink water.
bawa	to bring / carry	verb,motion	Jangan lupa bawa payung, mau hujan.	Don't forget to bring an umbrella; it's about to rain.
belajar	to study / learn	verb,mind	Adik saya belajar bahasa Inggris tiap malam.	My little sister studies English every night.
beli	to buy	verb,money	Saya mau beli buah di pasar.	I want to buy fruit at the market.
beri	to give	verb,handling	Beri dia waktu untuk berpikir.	Give him time to think.
bicara	to speak	verb,speech	Kita bicara nanti setelah makan.	Let's talk later, after we eat.
buka	to open	verb,handling	Tolong buka jendelanya, panas sekali.	Please open the window; it's really hot.
buang	to throw away	verb,household	Buang sampahnya di tempat sampah.	Throw the rubbish in the bin.
bunuh	to kill	verb,change	Jangan bunuh laba-laba itu, biarkan saja.	Don't kill that spider; just leave it alone.
buru	to hurry / chase	verb,motion	Jangan buru-buru, masih ada waktu.	Don't rush; there's still time.
cari	to look for	verb,mind	Saya cari kunci dari tadi, tidak ketemu.	I've been looking for the keys for a while and can't find them.
cicip	to taste	verb,routine	Coba cicip dulu, kurang garam tidak?	Have a taste first — does it need more salt?
cium	to kiss / smell	verb,routine	Anak itu cium tangan neneknya.	The child kissed his grandmother's hand.
catat	to note down	verb,mind	Tolong catat nomornya, nanti saya telepon.	Please write down the number; I'll call later.
cuci	to wash	verb,household	Saya mau cuci baju dulu pagi ini.	I want to wash clothes first this morning.
curi	to steal	verb,handling	Ada orang curi sandal di depan masjid.	Someone stole sandals in front of the mosque.
datang	to come	verb,motion	Tamunya datang jam berapa?	What time are the guests coming?
dandan	to get ready / dress up	verb,routine	Dia lama sekali kalau dandan.	She takes forever getting ready.
dengar	to hear / listen	verb,mind	Kamu dengar suara itu tadi?	Did you hear that sound just now?
dapat	to get / can	verb,state	Saya dapat kabar dari kakak tadi pagi.	I got news from my older sibling this morning.
duduk	to sit	verb,routine	Silakan duduk, sebentar lagi mulai.	Please have a seat; it starts shortly.
dukung	to support	verb,work	Dukung terus timnya sampai selesai.	Keep supporting the team until the end.
