nol	zero	number	Skornya masih nol kosong.	The score is still nil–nil.
satu	one	number	Saya pesan satu porsi saja.	I'll order just one portion.
dua	two	number	Kami punya dua anak.	We have two children.
tiga	three	number	Tunggu tiga menit lagi.	Wait another three minutes.
empat	four	number	Meja untuk empat orang, ya.	A table for four, please.
lima	five	number	Harganya lima ribu rupiah.	It costs five thousand rupiah.
enam	six	number	Dia pulang jam enam sore.	He gets home at six in the evening.
tujuh	seven	number	Anaknya sudah tujuh tahun.	Her child is seven now.
delapan	eight	number	Kami berangkat jam delapan pagi.	We leave at eight in the morning.
sembilan	nine	number	Tokonya buka sampai jam sembilan malam.	The shop is open until nine at night.
sepuluh	ten	number	Tinggal sepuluh menit lagi.	There are only ten minutes left.
sebelas	eleven	number	Dia lahir tanggal sebelas.	He was born on the eleventh.
dua belas	twelve	number	Rapatnya jam dua belas siang.	The meeting is at twelve noon.
dua puluh	twenty	number	Umurnya baru dua puluh tahun.	He's only twenty years old.
lima puluh	fifty	number	Isi bensin lima puluh ribu, ya.	Fifty thousand rupiah of petrol, please.
seratus	one hundred	number	Kursinya ada seratus di aula.	There are a hundred chairs in the hall.
dua ratus	two hundred	number	Harganya dua ratus ribu.	It costs two hundred thousand.
seribu	one thousand	number	Kembaliannya seribu rupiah.	The change is one thousand rupiah.
sepuluh ribu	ten thousand	number	Ongkos ojeknya sepuluh ribu.	The ojek fare is ten thousand.
satu juta	one million	number	Sewa rumahnya satu juta sebulan.	The house rent is one million a month.
setengah	half	number	Tolong potong setengah saja.	Please cut just half.
seperempat	a quarter	number	Tambah seperempat kilo lagi.	Add another quarter of a kilo.
separuh	half of (a thing)	number	Separuh kuenya sudah habis.	Half the cake is already gone.
puluhan	dozens / tens of	number	Ada puluhan orang antre di depan.	There are dozens of people queuing out front.
ratusan	hundreds of	number	Ratusan orang datang ke acara itu.	Hundreds of people came to that event.
ribuan	thousands of	number	Ribuan orang menonton pertandingan itu.	Thousands of people watched that match.
belasan	somewhere in the teens	number	Umurnya baru belasan tahun.	He's only in his teens.
berapa	how much / how many	number	Berapa harganya?	How much does it cost?
beberapa	several / a few	number	Ada beberapa pilihan lain.	There are several other options.
sebagian	some / part of	number	Sebagian tamunya belum datang.	Some of the guests haven't arrived.
terakhir	last / final	number	Ini kesempatan terakhir.	This is the last chance.
sekali lagi	once more	number	Coba sekali lagi, pelan-pelan.	Try once more, slowly.
dua kali	twice	number	Saya sudah ke sana dua kali.	I've been there twice.
kilo	kilo (weight)	number	Beli beras dua kilo, ya.	Buy two kilos of rice, please.
