# Discrimination foils: real Indonesian words used ONLY as the wrong
# option in the Minimal pairs drill. Deliberately not flashcards --
# see contrast/README.md. Columns: word, gloss.
adil	fair, just
aduk	to stir, to mix
akar	root (of a plant)
awak	body; a vehicle's crew
babak	a round or phase of a match
badak	rhinoceros
bait	a verse or stanza
bak	a tub or water basin
baki	a tray
bang	Bang — older brother, used as an address
barat	west
batin	one's inner self
becek	muddy, slushy
beku	frozen
besan	the parent of your child's spouse
buruh	a labourer, a wage worker
capai	to reach, to achieve
ceri	cherry
data	data
dipan	a low bed frame, a divan
hak	a right, an entitlement; a shoe heel
kakak	older sibling
kelak	later on, in time to come
kerang	shellfish, clams
laki	husband; male
lauk	the savoury dish eaten with rice
mengadakan	to hold or organise (an event)
merak	peacock
musik	music
pandai	clever, skilled at something
pelajar	a school student
remah	a crumb
sempet	colloquial "sempat" — to get the chance to
seni	art
sepi	quiet, deserted
taman	a park or garden
tari	dance
tes	a test
