di	at / in / on — place, not motion	grammar	Bukunya ada di meja dapur.	The book is on the kitchen table.
ke	to — motion towards a place	grammar,motion	Saya mau ke pasar dulu.	I want to go to the market first.
mau	want; also "about to"	verb,mind	Kamu mau makan apa?	What do you want to eat?
ya	yes; also a softening tag at the end	particle	Nanti kita ketemu di sana, ya.	We'll meet there, okay?
tidak	not, no — the standard form of "nggak"	grammar	Saya tidak tahu jawabannya.	I don't know the answer.
bagaimana	how — the standard form of "gimana"	question	Bagaimana kabarmu hari ini?	How are you today?
terus	then, and then; also "keep on"	connector	Kami makan dulu, terus jalan-jalan.	We ate first, then went out walking.
memang	indeed, it's true that — concedes a point	particle	Memang sulit, tapi bisa dicoba.	It is hard, true, but you can try.
emang	colloquial "memang" — really, actually	particle	Emang kamu nggak tahu?	You really didn't know?
pengen	colloquial "ingin" — to want to	mind	Aku pengen pulang cepat hari ini.	I want to go home early today.
ingin	to want, to wish — more formal than "mau"	mind	Saya ingin belajar bahasa Indonesia.	I want to learn Indonesian.
oleh	by — marks the doer in a passive sentence	grammar	Surat itu ditulis oleh adik saya.	That letter was written by my younger sibling.
pada	at, on — with times, or a formal "to"	grammar	Rapatnya mulai pada jam sembilan.	The meeting starts at nine.
tanpa	without	grammar	Dia pergi tanpa bilang apa-apa.	He left without saying anything.
sejak	since — from a point in time onward	time	Saya tinggal di sini sejak kecil.	I've lived here since I was small.
selama	for, during — across a stretch of time	time	Dia sakit selama tiga hari.	She was sick for three days.
menurut	according to — whose opinion it is	speech	Menurut saya, itu ide bagus.	In my opinion, that's a good idea.
tentang	about, concerning	grammar	Kami ngobrol tentang pekerjaan.	We chatted about work.
begini	like this — the standard form of "gini"	demonstrative	Caranya begini, lihat dulu.	It's done like this, watch first.
pernah	ever, to have once — experience, not past tense	time	Kamu pernah ke Bali?	Have you ever been to Bali?
segera	right away, promptly	time	Saya akan segera datang.	I'll come right away.
tiba-tiba	suddenly, out of nowhere	time	Tiba-tiba hujan turun deras.	Suddenly it poured.
ternyata	it turns out — marks a surprise	particle	Ternyata dia sudah pulang.	It turns out he'd already gone home.
pasti	surely, definitely	state	Dia pasti senang dengar itu.	He'll definitely be glad to hear that.
tentu	of course, certainly	state	Tentu saja saya mau ikut.	Of course I want to come along.
perlu	to need; to be necessary	state	Kita perlu beli beras lagi.	We need to buy rice again.
butuh	to need — more colloquial than "perlu"	state	Aku butuh bantuan kamu.	I need your help.
benci	to hate	emotion	Saya benci macet di pagi hari.	I hate traffic in the morning.
hanya	only, just — more formal than "cuma"	grammar	Saya hanya minum kopi tadi pagi.	I only had coffee this morning.
malah	instead, on the contrary — the opposite happened	particle	Disuruh diam, malah tambah berisik.	Told to be quiet, he only got louder.
supaya	so that, in order to	connector	Belajar yang rajin supaya lulus.	Study hard so that you pass.
agar	so that — the formal "supaya"	connector	Ditulis besar agar mudah dibaca.	Written large so it's easy to read.
ketika	when — at the moment that	connector	Ketika saya datang, dia sudah pergi.	When I arrived, he had already left.
sambil	while — doing two things at once	connector	Dia makan sambil nonton TV.	He eats while watching TV.
setelah	after	connector	Setelah makan, kita jalan-jalan.	After eating, we went out walking.
sebelum	before	connector	Cuci tangan sebelum makan.	Wash your hands before eating.
setiap	every, each	grammar	Setiap orang dapat satu.	Everyone gets one.
terlalu	too — more than is wanted	comparison	Kopinya terlalu manis buat saya.	The coffee is too sweet for me.
sangat	very — the formal "banget"	comparison	Dia sangat rajin di kelas.	She is very diligent in class.
barusan	just now, a moment ago	time	Dia barusan keluar, coba telepon.	He just went out, try calling him.
situ	there — near you, the listener	demonstrative	Taruh saja di situ.	Just put it there.
hal	thing, matter — abstract, never an object	grammar	Ada satu hal yang mau saya tanya.	There's one thing I want to ask.
cara	way, method	grammar	Ini cara paling gampang.	This is the easiest way.
waktu	time; also "when" in a story	time	Saya nggak punya waktu hari ini.	I don't have time today.
tempat	place, spot	places	Tempat ini ramai kalau malam.	This place is busy at night.
kali	time(s) — counting repetitions	number	Saya sudah coba tiga kali.	I've tried three times.
ekor	the counter used for animals	number	Dia punya dua ekor kucing.	He has two cats.
sedang	in the middle of — the standard "lagi"	grammar	Ayah sedang tidur di kamar.	Dad is sleeping in the bedroom.
mengatakan	to say — the formal "bilang"	speech	Dia mengatakan bahwa dia sibuk.	He said that he was busy.
bekerja	to work — the formal "kerja"	verb,work	Ibu saya bekerja di rumah sakit.	My mother works at a hospital.
