lebih	more	comparison	Hari ini lebih panas daripada kemarin.	Today is hotter than yesterday.
kurang	less / not enough; to reduce / be lacking	comparison,verb,change	Garamnya kurang, tolong tambah sedikit.	There isn't enough salt; please add a little.
paling	most	comparison	Ini yang paling enak di sini.	This is the tastiest thing here.
agak	somewhat / rather	comparison	Kopinya agak pahit, tapi masih enak.	The coffee is a bit bitter, but still good.
sekitar	around / approximately	comparison	Kami sampai sekitar jam tujuh.	We'll get there around seven.
kira-kira	about / roughly	comparison	Jaraknya kira-kira lima kilometer.	The distance is roughly five kilometers.
hampir	almost / nearly	comparison	Saya hampir lupa bawa dompet.	I almost forgot to bring my wallet.
sama	same / equal	comparison	Harganya sama saja di mana-mana.	The price is the same everywhere.
tidak sama	not the same / different	comparison	Rasanya tidak sama dengan buatan ibu.	The taste isn't the same as my mother's.
mirip	similar	comparison	Wajahnya mirip ayahnya.	His face looks like his father's.
berbeda	different	comparison	Logatnya berbeda di setiap daerah.	The accent is different in every region.
lebih baik	better	comparison	Lebih baik kita berangkat sekarang.	We'd better leave now.
lebih buruk	worse	comparison	Cuacanya lebih buruk daripada kemarin.	The weather is worse than yesterday.
lebih besar	bigger	comparison	Kamar ini lebih besar daripada yang di atas.	This room is bigger than the one upstairs.
lebih kecil	smaller	comparison	Saya mau ukuran yang lebih kecil.	I'd like a smaller size.
lebih cepat	faster	comparison	Naik motor lebih cepat kalau macet.	Going by motorbike is faster when there's traffic.
lebih lambat / lebih pelan	slower	comparison	Tolong bicara lebih pelan, saya belum paham.	Please speak more slowly; I don't follow yet.
lebih mahal	more expensive	comparison	Yang asli lebih mahal, tapi awet.	The genuine one is more expensive, but it lasts.
lebih murah	cheaper	comparison	Kalau beli banyak, lebih murah.	If you buy a lot, it's cheaper.
lebih banyak	more (quantity)	comparison	Tahun ini lebih banyak tamu daripada tahun lalu.	There are more guests this year than last year.
lebih sedikit	less / fewer	comparison	Saya makan lebih sedikit sejak sakit.	I've been eating less since I got sick.
lebih tinggi	taller / higher	comparison	Gedung itu lebih tinggi daripada masjidnya.	That building is taller than the mosque.
lebih rendah	lower	comparison	Harganya lebih rendah di toko sebelah.	The price is lower at the shop next door.
lebih jauh	farther	comparison	Rumahnya lebih jauh dari yang saya kira.	His house is farther away than I thought.
lebih dekat	closer	comparison	Lewat sini lebih dekat ke stasiun.	This way is closer to the station.
kurang lebih	more or less	comparison	Kurang lebih dua jam dari sini.	It's more or less two hours from here.
lebih kurang	roughly / approximately	comparison	Beratnya lebih kurang tiga kilo.	It weighs roughly three kilos.
seperti	like / similar to	comparison	Rasanya seperti masakan rumah.	It tastes like home cooking.
seolah-olah	as if	comparison	Dia bicara seolah-olah sudah tahu semuanya.	He talks as if he already knows everything.
seakan-akan	as though	comparison	Dia diam seakan-akan tidak mendengar.	He kept quiet as though he hadn't heard.
sebanding	comparable	comparison	Harganya sebanding dengan kualitasnya.	The price is in line with the quality.
selevel	at the same level	comparison	Kemampuannya sudah selevel dengan pelatihnya.	His ability is now at the same level as his coach's.
setara	equivalent	comparison	Ijazahnya setara dengan sarjana di sini.	His diploma is equivalent to a bachelor's degree here.
daripada	than (in comparisons)	comparison	Naik kereta lebih nyaman daripada naik bus.	Going by train is more comfortable than by bus.
dibandingkan dengan	compared to / compared with	comparison	Dibandingkan dengan kota, di desa lebih tenang.	Compared with the city, it's calmer in the village.
dibandingkan	(when) compared	comparison	Harganya murah dibandingkan tempat lain.	The price is cheap compared to other places.
bandingkan dengan	compare with	comparison	Coba bandingkan dengan harga di toko sebelah.	Try comparing it with the price at the shop next door.
sama … dengan …	as … as …	comparison	Dia sama tinggi dengan kakaknya.	He's as tall as his older brother.
lebih … daripada …	more … than …	comparison	Dia lebih rajin daripada adiknya.	She's more diligent than her younger sibling.
kurang … daripada …	less … than …	comparison	Kopi ini kurang manis daripada yang tadi.	This coffee is less sweet than the last one.
baik … maupun …	both … and …	comparison	Baik ayah maupun ibunya datang ke acara itu.	Both his father and his mother came to the event.
entah … entah …	either … or … (informal)	comparison	Entah dia lupa, entah dia memang tidak mau.	Either he forgot, or he just didn't want to.
baiknya	preferably / it's better to	comparison	Baiknya kamu istirahat dulu.	You'd better rest first.
idealnya	ideally	comparison	Idealnya kita berangkat sebelum subuh.	Ideally we'd leave before dawn.
relatif	relative	comparison	Mahal itu relatif, tergantung orangnya.	"Expensive" is relative; it depends on the person.
mutlak	absolute	comparison	Ini syarat mutlak, tidak bisa ditawar.	This is an absolute requirement; it's not negotiable.
