baju	clothes / a shirt or top	clothing	Bajunya kekecilan.	The shirt is too small.
pakaian	clothing (the general word)	clothing	Pakaiannya dilipat rapi di lemari.	The clothes are folded neatly in the wardrobe.
celana	trousers / pants	clothing	Celananya kepanjangan.	The trousers are too long.
rok	skirt	clothing	Roknya baru dibeli kemarin.	The skirt was bought yesterday.
kaus	t-shirt	clothing	Dia pakai kaus putih polos.	He's wearing a plain white t-shirt.
kemeja	button-up shirt	clothing	Kemejanya perlu disetrika.	The shirt needs ironing.
jaket	jacket	clothing	Bawa jaket, di atas dingin.	Bring a jacket — it's cold up there.
sepatu	shoes	clothing	Sepatunya kotor kena lumpur.	The shoes are dirty with mud.
sandal	sandals / flip-flops	clothing	Sandalnya ketinggalan di masjid.	The sandals were left at the mosque.
kaus kaki	socks	clothing	Kaus kakinya bolong.	The socks have a hole in them.
topi	hat / cap	clothing	Pakai topi, mataharinya terik.	Wear a hat — the sun is scorching.
jilbab	headscarf	clothing	Jilbabnya senada dengan bajunya.	Her headscarf matches her outfit.
sarung	sarong	clothing	Bapak pakai sarung waktu salat.	Dad wears a sarong when he prays.
batik	batik (patterned cloth, worn formally)	clothing	Hari Jumat kami pakai batik ke kantor.	On Fridays we wear batik to the office.
kacamata	glasses	clothing	Kacamatanya ketinggalan di meja.	His glasses were left on the table.
jam tangan	wristwatch	clothing	Jam tangannya hadiah dari ayahnya.	The watch was a gift from his father.
ukuran	size / measurement	clothing	Ada ukuran yang lebih besar?	Do you have a bigger size?
muat	to fit	clothing	Bajunya nggak muat lagi.	The shirt doesn't fit anymore.
setrika	iron / to iron	clothing	Bajunya sudah disetrika semua.	All the clothes have been ironed.
warna	colour	clothing	Warnanya bagus, saya suka.	The colour is nice — I like it.
bahan	material / ingredient	clothing	Bahannya adem, cocok buat panas.	The material is cool — good for hot weather.
model	style / design	clothing	Modelnya sudah lama, tapi masih bagus.	The style is dated, but it's still nice.
