cuaca	weather	nature	Cuacanya nggak menentu akhir-akhir ini.	The weather has been unpredictable lately.
hujan	rain	nature	Hujan deras dari tadi sore.	It's been raining hard since this afternoon.
mendung	overcast / cloudy	nature	Langitnya mendung, bawa payung.	The sky is overcast — bring an umbrella.
awan	cloud	nature	Awannya hitam, mau hujan.	The clouds are dark; it's going to rain.
angin	wind	nature	Anginnya kencang sekali malam ini.	The wind is really strong tonight.
petir	lightning / thunder	nature	Petirnya keras sekali tadi.	The thunder was really loud earlier.
banjir	flood	nature	Jalannya banjir sampai lutut.	The road is flooded up to knee height.
matahari	sun	nature	Mataharinya terik sekali siang ini.	The sun is scorching this midday.
bintang	star	nature	Malam ini bintangnya kelihatan jelas.	Tonight the stars are clearly visible.
langit	sky	nature	Langitnya cerah pagi ini.	The sky is clear this morning.
cerah	clear / sunny	nature	Cuacanya cerah, cocok ke pantai.	The weather is clear — good for the beach.
musim	season	nature	Sekarang musim hujan.	It's the rainy season now.
musim hujan	rainy season	nature	Musim hujan biasanya mulai Oktober.	The rainy season usually starts in October.
musim kemarau	dry season	nature	Musim kemarau airnya susah.	In the dry season water is hard to come by.
laut	sea	nature	Lautnya tenang hari ini.	The sea is calm today.
pantai	beach / coast	nature	Pantainya sepi kalau hari kerja.	The beach is quiet on weekdays.
gunung	mountain	nature	Gunungnya kelihatan dari sini.	The mountain is visible from here.
sungai	river	nature	Sungainya meluap habis hujan.	The river overflowed after the rain.
sawah	rice field	nature	Sawahnya menguning, sebentar lagi panen.	The rice fields are turning golden; harvest is soon.
pohon	tree	nature	Pohon mangga di depan rumah sudah besar.	The mango tree in front of the house is big now.
bunga	flower; also bank interest	nature	Bunganya baru mekar pagi ini.	The flowers only opened this morning.
daun	leaf	nature	Daunnya berguguran di halaman.	Leaves are falling all over the yard.
kebun	garden / plantation	nature	Kami punya kebun kecil di belakang.	We have a small garden out back.
tanah	soil / land	nature	Tanahnya subur di daerah sini.	The soil is fertile around here.
hewan	animal	nature	Di kebun binatang banyak hewan langka.	There are lots of rare animals at the zoo.
kucing	cat	nature	Kucingnya tidur di kursi.	The cat is asleep on the chair.
anjing	dog	nature	Anjingnya menggonggong semalaman.	The dog barked all night.
burung	bird	nature	Burungnya bersiul tiap pagi.	The birds whistle every morning.
nyamuk	mosquito	nature	Nyamuknya banyak sekali malam ini.	There are so many mosquitoes tonight.
semut	ant	nature	Semutnya masuk ke toples gula.	The ants got into the sugar jar.
gempa	earthquake	nature	Semalam ada gempa kecil.	There was a small earthquake last night.
asap	smoke	nature	Asapnya masuk ke dalam rumah.	The smoke is getting into the house.
