dan	and	connector	Saya beli nasi dan ayam goreng.	I bought rice and fried chicken.
atau	or	connector	Mau teh atau kopi?	Would you like tea or coffee?
tetapi / tapi	but	connector	Saya mau ikut, tapi besok saya kerja.	I'd like to come along, but I'm working tomorrow.
namun	however	connector	Harganya mahal. Namun, kualitasnya bagus.	The price is high. However, the quality is good.
sedangkan	whereas / while (contrast)	connector	Saya suka pedas, sedangkan istri saya tidak.	I like spicy food, whereas my wife doesn't.
sementara	while / meanwhile	connector	Kamu masak dulu, sementara saya bersihkan meja.	You start cooking, while I clean the table.
sebaliknya	conversely / on the contrary	connector	Dia tidak marah. Sebaliknya, dia malah tertawa.	He wasn't angry. On the contrary, he actually laughed.
karena	because	connector	Saya tidak datang karena hujan deras.	I didn't come because of the heavy rain.
sebab	cause / because	connector	Dia terlambat sebab jalanan macet.	He was late because the roads were jammed.
oleh karena itu	therefore / because of that	connector	Tiketnya habis. Oleh karena itu, kami pulang.	The tickets were sold out. Because of that, we went home.
jadi	so / therefore; to become	connector,verb,change	Sudah malam, jadi kita pulang saja.	It's late, so let's just go home.
sehingga	so that / as a result	connector	Dia belajar keras sehingga lulus dengan nilai bagus.	He studied hard, so he graduated with good grades.
akibatnya	as a result / consequently	connector	Dia lupa isi bensin. Akibatnya, motornya mogok di jalan.	He forgot to fill up. As a result, his motorbike died on the road.
walaupun	although / even though	connector	Walaupun capek, dia tetap masak.	Even though she was tired, she still cooked.
meskipun	although / even though	connector	Meskipun hujan, mereka tetap berangkat.	Even though it was raining, they still set off.
padahal	even though / in fact (contrastive)	connector	Dia bilang sudah makan, padahal belum.	He said he'd eaten, when in fact he hadn't.
meski	even though (short form)	connector	Meski jauh, saya tetap datang.	Even though it's far, I still came.
andaikan	if / supposing	connector	Andaikan saya punya waktu, saya mau ikut.	If I had the time, I'd want to come.
jika	if	connector	Jika hujan, acaranya dipindah ke dalam.	If it rains, the event moves indoors.
lagipula	besides / moreover	connector	Saya capek. Lagipula, sudah larut malam.	I'm tired. Besides, it's already late.
selain itu	besides that / other than that	connector	Dia pintar masak. Selain itu, dia juga rajin.	She's a good cook. Besides that, she's hardworking too.
di samping itu	in addition / besides	connector	Harganya murah. Di samping itu, tempatnya dekat.	It's cheap. In addition, the place is close by.
juga	also	connector	Adik saya juga mau ikut.	My little brother wants to come too.
bahkan	even	connector	Dia bahkan tidak sempat sarapan.	He didn't even have time for breakfast.
apalagi	especially / let alone	connector	Bahasa Indonesia saja saya belum lancar, apalagi bahasa Jawa.	I'm not even fluent in Indonesian, let alone Javanese.
pertama	first	connector	Pertama, potong bawangnya dulu.	First, chop the onions.
kedua	second	connector	Kedua, masukkan bumbunya.	Second, put in the spices.
ketiga	third	connector	Ketiga, aduk sampai rata.	Third, stir until it's evenly mixed.
selanjutnya	next / subsequently	connector	Selanjutnya, kita bahas soal biaya.	Next, we'll talk about the cost.
kemudian	then / afterwards	connector	Dia mandi, kemudian sarapan.	He showered, then had breakfast.
lalu	then / after that; to pass	connector,verb,motion	Kami makan dulu, lalu jalan-jalan.	We ate first, then went out for a walk.
berikutnya	the next	connector	Kereta berikutnya berangkat jam delapan.	The next train leaves at eight.
akhirnya	finally / in the end	connector	Akhirnya dia datang juga.	He finally showed up.
pada akhirnya	ultimately	connector	Pada akhirnya, semua tergantung kamu.	Ultimately, it all depends on you.
singkatnya	in short	connector	Singkatnya, kita belum siap.	In short, we're not ready.
secara umum	generally / in general	connector	Secara umum, harganya masih terjangkau.	Generally speaking, the price is still affordable.
secara khusus	specifically	connector	Kami secara khusus mengundang keluarga dekat.	We specifically invited close family.
sebagainya	and so on / etc.	connector	Bawa handuk, sabun, dan sebagainya.	Bring a towel, soap, and so on.
misalnya	for example	connector	Bawa yang ringan, misalnya roti atau buah.	Bring something light, for example bread or fruit.
contohnya	for instance	connector	Banyak yang bisa dicoba, contohnya sate dan gado-gado.	There's plenty to try, for instance satay and gado-gado.
khususnya	particularly	connector	Saya suka masakan Padang, khususnya rendang.	I like Padang food, particularly rendang.
umumnya	generally	connector	Orang di sini umumnya ramah.	People here are generally friendly.
di satu sisi	on one side / on the one hand	connector	Di satu sisi saya mau pindah, di sisi lain saya betah di sini.	On the one hand I want to move; on the other hand I'm settled here.
di sisi lain	on the other side / on the other hand	connector	Gajinya besar, tapi di sisi lain kerjanya berat.	The pay is good, but on the other hand the work is hard.
dari segi	in terms of	connector	Dari segi harga, ini paling masuk akal.	In terms of price, this makes the most sense.
dari sisi	from the side of / from the perspective of	connector	Coba lihat dari sisi orang tuanya.	Try looking at it from the parents' side.
dari sudut pandang	from the point of view of	connector	Dari sudut pandang anak, aturan itu terlalu ketat.	From a child's point of view, that rule is too strict.
