uang	money	money	Uangnya belum cukup.	There isn't enough money yet.
harga	price	money	Harganya berapa, Pak?	What's the price, sir?
rupiah	rupiah (the currency)	money	Totalnya lima puluh ribu rupiah.	The total is fifty thousand rupiah.
kembalian	change (money back)	money	Kembaliannya ambil saja.	Just keep the change.
tunai	cash	money	Bayar tunai atau transfer?	Paying cash or by transfer?
kartu	card	money	Bisa bayar pakai kartu?	Can I pay by card?
transfer	bank transfer	money	Nanti saya transfer sore ini.	I'll transfer it this afternoon.
struk	receipt	money	Struknya jangan dibuang.	Don't throw the receipt away.
bon	the bill	money	Minta bonnya, Mbak.	Could I have the bill, please?
diskon	discount	money	Ada diskon lima puluh persen.	There's a fifty percent discount.
gratis	free of charge	money	Ongkos kirimnya gratis.	Delivery is free.
belanja	to shop / go shopping	money	Ibu belanja ke pasar tiap pagi.	Mum shops at the market every morning.
pembeli	buyer / customer	money	Pembelinya banyak kalau akhir pekan.	There are a lot of customers at weekends.
penjual	seller / vendor	money	Penjualnya ramah sekali.	The vendor is very friendly.
kasir	cashier / checkout	money	Bayarnya di kasir depan.	You pay at the checkout out front.
antrean	queue / line	money	Antreannya panjang sekali.	The queue is really long.
nawar	to haggle (casual for "menawar")	money	Di pasar boleh nawar, di mal tidak.	At the market you can haggle; at the mall you can't.
harga pas	fixed price, no haggling	money	Di sini harga pas, tidak bisa ditawar.	The price here is fixed; there's no haggling.
pas	exact / just right	money	Uangnya pas, nggak usah kembalian.	The money's exact — no change needed.
uang kecil	small notes / small change	money	Ada uang kecil nggak? Saya nggak ada kembalian.	Do you have small notes? I don't have change.
utang	debt / to owe	money	Utangnya sudah dilunasi.	The debt has been paid off.
pinjaman	loan	money	Dia ambil pinjaman untuk buka warung.	He took out a loan to open a shop.
tabungan	savings	money	Tabungannya buat sekolah anak.	The savings are for the children's schooling.
gaji	salary / wages	money	Gajinya dibayar tiap tanggal satu.	Wages are paid on the first of the month.
biaya	cost / fee	money	Biayanya sudah termasuk makan.	The cost already includes meals.
ongkos	fare / charge	money	Ongkos kirimnya sepuluh ribu.	The delivery charge is ten thousand.
kredit	credit / paying in instalments	money	Motornya dibeli kredit tiga tahun.	The motorbike was bought on a three-year instalment plan.
untung	profit; also "luckily"	money	Untung saya bawa payung.	Luckily I brought an umbrella.
rugi	a loss; also "a waste, a shame"	money	Rugi kalau nggak ikut.	It'd be a shame not to come along.
laris	selling fast / in demand	money	Gorengannya laris, habis dalam sejam.	The fried snacks sell fast — gone within an hour.
