badan	body	health	Badan saya pegal semua.	My whole body aches.
kepala	head	health	Kepala saya pusing dari tadi.	My head has been spinning for a while.
rambut	hair	health	Rambutnya baru dipotong.	Her hair was just cut.
mata	eye	health	Mata saya perih kena asap.	My eyes sting from the smoke.
hidung	nose	health	Hidung saya tersumbat.	My nose is blocked.
telinga	ear	health	Telinganya sakit kalau naik pesawat.	His ears hurt when he flies.
mulut	mouth	health	Jangan bicara waktu mulut penuh.	Don't talk with your mouth full.
gigi	tooth	health	Gigi saya sakit, mau ke dokter gigi.	My tooth hurts; I want to see the dentist.
lidah	tongue	health	Lidah saya kepanasan kena kuah.	I burnt my tongue on the broth.
leher	neck	health	Lehernya kaku karena salah tidur.	His neck is stiff from sleeping awkwardly.
tangan	hand / arm	health	Cuci tangan dulu sebelum makan.	Wash your hands before eating.
jari	finger / toe	health	Jarinya kejepit pintu.	His finger got caught in the door.
kaki	foot / leg	health	Kaki saya pegal habis jalan jauh.	My legs ache after a long walk.
perut	stomach / belly	health	Perutnya sakit habis makan pedas.	His stomach hurts after eating spicy food.
punggung	back	health	Punggung saya sakit kalau duduk lama.	My back hurts if I sit for a long time.
dada	chest	health	Dadanya sesak, susah bernapas.	His chest is tight; it's hard to breathe.
jantung	heart (the organ)	health	Jantungnya berdebar waktu naik panggung.	His heart raced when he went on stage.
darah	blood	health	Tekanan darahnya agak tinggi.	His blood pressure is a bit high.
kulit	skin / leather	health	Kulitnya gatal kena debu.	His skin itches from the dust.
demam	fever	health	Anaknya demam semalaman.	Her child had a fever all night.
batuk	cough	health	Batuknya belum sembuh juga.	His cough still hasn't cleared up.
pilek	head cold / runny nose	health	Saya pilek dari kemarin.	I've had a cold since yesterday.
flu	flu	health	Lagi musim flu, hati-hati.	It's flu season — be careful.
pusing	dizzy / a headache	health	Saya pusing, mau istirahat dulu.	I feel dizzy; I want to rest.
mual	nauseous	health	Dia mual di perjalanan.	He felt sick on the journey.
capek / lelah	tired	health	Saya capek sekali hari ini.	I'm really tired today.
luka	wound / injured	health	Lukanya harus dibersihkan dulu.	The wound needs to be cleaned first.
obat	medicine	health	Obatnya diminum tiga kali sehari.	Take the medicine three times a day.
dokter	doctor	health	Besok saya ke dokter.	Tomorrow I'm going to the doctor.
perawat	nurse	health	Perawatnya ramah sekali.	The nurse is very kind.
rumah sakit	hospital	health	Dia dirawat di rumah sakit tiga hari.	He was in hospital for three days.
puskesmas	community health clinic	health	Periksa di puskesmas saja, lebih murah.	Just get checked at the puskesmas; it's cheaper.
apotek	pharmacy	health	Apoteknya buka dua puluh empat jam.	The pharmacy is open twenty-four hours.
sembuh	to recover / get well	health	Semoga cepat sembuh.	Hope you get better soon.
periksa	to examine / get checked	health	Sudah periksa ke dokter belum?	Have you seen a doctor yet?
istirahat	to rest	health	Kamu istirahat dulu, jangan kerja.	You rest first; don't work.
olahraga	exercise / sport	health	Dia olahraga tiap pagi.	He exercises every morning.
masuk angin	feeling run down (lit. "wind got in")	health	Saya masuk angin, badan saya nggak enak.	I've caught a chill; I don't feel well.
alergi	allergy / allergic	health	Dia alergi seafood.	He's allergic to seafood.
hamil	pregnant	health	Kakak saya lagi hamil enam bulan.	My older sister is six months pregnant.
