Mau ke mana?	Where are you off to? — the standard passing greeting	smalltalk	“Mau ke mana?” “Mau ke pasar sebentar.”	“Where are you off to?” “Just to the market.”
Dari mana?	Where have you just come from?	smalltalk	“Dari mana?” “Dari kantor.”	“Where have you been?” “The office.”
Sudah makan?	Have you eaten? — asked as a friendly opener	smalltalk	“Sudah makan?” “Belum, nanti saja.”	“Have you eaten?” “Not yet — later.”
Namanya siapa?	What's your name?	smalltalk	“Namanya siapa?” “Nama saya Dila.”	“What's your name?” “My name is Dila.”
Tinggal di mana?	Where do you live?	smalltalk	“Tinggal di mana sekarang?” “Di Denpasar.”	“Where do you live now?” “In Denpasar.”
Asalnya dari mana?	Where are you from originally?	smalltalk	“Asalnya dari mana?” “Dari Lombok.”	“Where are you from?” “From Lombok.”
Berapa harganya?	How much does it cost?	smalltalk	Berapa harganya yang ini, Bu?	How much is this one, ma'am?
Di mana…?	Where is…?	smalltalk	Di mana kamar mandinya?	Where's the bathroom?
Boleh minta tolong?	Could you help me?	smalltalk	Boleh minta tolong sebentar?	Could you give me a hand for a second?
Bisa bahasa Inggris?	Do you speak English?	smalltalk	Maaf, bisa bahasa Inggris?	Sorry, do you speak English?
Saya tidak mengerti	I don't understand	smalltalk	Maaf, saya tidak mengerti. Bisa diulang?	Sorry, I don't understand. Could you repeat that?
Bisa pelan-pelan?	Could you say that slowly?	smalltalk	Bisa pelan-pelan? Saya baru belajar.	Could you go slowly? I've only just started learning.
Apa artinya?	What does it mean?	smalltalk	“Apa artinya ‘lumayan’?” “Artinya cukup bagus.”	“What does ‘lumayan’ mean?” “It means fairly good.”
Bagaimana cara…?	How do you…?	smalltalk	Bagaimana cara ke stasiun dari sini?	How do you get to the station from here?
Lagi apa?	What are you up to?	smalltalk	“Lagi apa?” “Lagi masak.”	“What are you up to?” “Cooking.”
Ada apa?	What's up? / What's wrong?	smalltalk	Ada apa? Kok kelihatan sedih.	What's wrong? You look sad.
Gimana kalau…?	How about…? — floating a suggestion	smalltalk	Gimana kalau kita makan di luar saja?	How about we just eat out?
Terserah	up to you / whatever you like	smalltalk	“Mau makan apa?” “Terserah, kamu yang pilih.”	“What do you want to eat?” “Up to you — you pick.”
Mungkin nanti	maybe later	smalltalk	Mungkin nanti saja, sekarang saya sibuk.	Maybe later — I'm busy right now.
Nggak tahu	I don't know	smalltalk	Nggak tahu, coba tanya yang lain.	I don't know — try asking someone else.
Sebentar ya	just a moment	smalltalk	Sebentar ya, saya ambilkan dulu.	Just a moment — let me go get it.
Sudah lama nunggu?	Have you been waiting long?	smalltalk	“Sudah lama nunggu?” “Baru saja kok.”	“Been waiting long?” “Only just got here.”
Jangan lupa	don't forget	smalltalk	Jangan lupa bawa KTP-nya.	Don't forget to bring your ID.
Kok bisa?	How come? / How did that happen?	smalltalk	Kok bisa sampai ketinggalan kereta?	How on earth did you end up missing the train?
Masa?	Really? / No way	smalltalk	“Dia sudah menikah.” “Masa? Kapan?”	“He's married.” “Really? When?”
Oh ya?	Oh really?	smalltalk	Oh ya? Saya baru dengar.	Oh really? That's news to me.
Betul	right / that's true	smalltalk	Betul, itu memang rumahnya.	Right — that is indeed his house.
Setuju	agreed / I agree	smalltalk	Saya setuju sama usulmu.	I agree with your suggestion.
Kalau boleh tahu	if I may ask	smalltalk	Kalau boleh tahu, umurnya berapa?	If I may ask, how old are you?
Semoga lancar	hope it goes smoothly	smalltalk	Semoga lancar acaranya besok.	Hope tomorrow's event goes smoothly.
Yuk	come on, let's (very casual)	smalltalk	Yuk, kita berangkat sekarang.	Come on, let's get going.
Boleh juga	not bad / sounds good	smalltalk	“Gimana kalau ke pantai?” “Boleh juga.”	“How about the beach?” “Sounds good.”
