pekerjaan	job / work	work	Pekerjaannya di bidang teknologi.	Their job is in the tech field.
bos	boss	work	Bosnya baik, nggak galak.	The boss is nice, not harsh.
teman	friend	work	Teman saya kerja di sana juga.	My friend works there too.
rekan kerja	colleague / co-worker	work	Rekan kerjanya ramah semua.	His colleagues are all friendly.
rapat	meeting	work	Rapatnya dimajukan jadi jam sembilan.	The meeting has been moved up to nine.
jadwal	schedule	work	Jadwalnya berubah lagi.	The schedule has changed again.
lembur	overtime	work	Semalam saya lembur sampai jam sepuluh.	Last night I worked overtime until ten.
libur	day off / holiday	work	Besok libur, nggak masuk kerja.	Tomorrow is a day off — no work.
cuti	leave (from work)	work	Saya ambil cuti tiga hari.	I'm taking three days' leave.
tugas	task / assignment	work	Tugasnya harus selesai besok.	The assignment has to be done by tomorrow.
laporan	report	work	Laporannya belum saya kirim.	I haven't sent the report yet.
proyek	project	work	Proyeknya molor dua minggu.	The project has slipped two weeks.
guru	teacher	school	Gurunya sabar sekali sama anak-anak.	The teacher is very patient with the kids.
murid	pupil / school student	school	Muridnya ada tiga puluh di kelas.	There are thirty pupils in the class.
mahasiswa	university student	school	Dia mahasiswa tingkat akhir.	He's a final-year university student.
kelas	class / classroom	school	Kelasnya mulai jam delapan.	Class starts at eight.
pelajaran	lesson / school subject	school	Pelajaran favoritnya matematika.	His favourite subject is maths.
ujian	exam	school	Ujiannya minggu depan.	The exam is next week.
nilai	grade / value	school	Nilainya bagus semua semester ini.	His grades are all good this semester.
PR	homework (from "pekerjaan rumah")	school	PR-nya belum dikerjakan.	The homework hasn't been done.
kuliah	university study / a lecture	school	Dia kuliah di Yogyakarta.	He's at university in Yogyakarta.
universitas	university	school	Universitasnya dekat rumah.	The university is near home.
lulus	to graduate / pass	school	Dia lulus tahun lalu.	He graduated last year.
buku	book	school	Bukunya ketinggalan di kelas.	The book was left in the classroom.
pensil	pencil	school	Pinjam pensilnya sebentar.	Let me borrow your pencil for a second.
kertas	paper	school	Kertasnya habis, beli lagi.	The paper has run out — buy more.
komputer	computer	work	Komputernya lambat sekali.	The computer is really slow.
laptop	laptop	work	Laptopnya dibawa ke kantor.	He took the laptop to the office.
internet	internet	work	Internetnya lemot dari tadi.	The internet has been slow this whole time.
sinyal	signal / reception	work	Sinyalnya hilang di daerah sini.	There's no reception around here.
rajin	diligent / hardworking	work	Anaknya rajin belajar.	Her child studies diligently.
malas	lazy / not in the mood	work	Saya lagi malas keluar rumah.	I don't feel like leaving the house.
sibuk	busy	work	Maaf, saya lagi sibuk.	Sorry, I'm busy right now.
pintar	clever / good at	work	Dia pintar bahasa asing.	He's good at foreign languages.
