besar	big	adjective	Rumah mereka besar sekali.	Their house is very big.
kecil	small	adjective	Adik saya masih kecil.	My younger sibling is still little.
panjang	long	adjective	Rambutnya panjang sampai pinggang.	Her hair is long, down to her waist.
pendek	short	adjective	Jalan ke pasar lebih pendek lewat gang ini.	The way to the market is shorter through this alley.
tinggi	tall / high	adjective	Kakak saya lebih tinggi daripada saya.	My older sibling is taller than me.
rendah	low	adjective	Kursi itu terlalu rendah untuk meja makan.	That chair is too low for the dining table.
lebar	wide	adjective	Jalannya lebar, jadi mobil bisa lewat.	The road is wide, so cars can get through.
sempit	narrow	adjective	Gangnya sempit, cuma motor yang bisa masuk.	The alley is narrow; only motorbikes can get in.
tebal	thick	adjective	Bukunya tebal sekali, seribu halaman.	The book is really thick, a thousand pages.
tipis	thin	adjective	Kertasnya tipis, hati-hati kalau menulis.	The paper is thin, so be careful when you write.
banyak	many / much / a lot	adjective	Pagi ini banyak orang di pasar.	There are a lot of people at the market this morning.
sedikit	few / a little	adjective	Saya cuma minta sedikit garam.	I only want a little salt.
penuh	full	adjective	Busnya sudah penuh, kita tunggu yang berikutnya.	The bus is already full; let's wait for the next one.
kosong	empty	adjective	Botolnya sudah kosong, tolong isi lagi.	The bottle is empty already; please fill it again.
kuat	strong / powerful	adjective	Kopinya terlalu kuat buat saya.	The coffee is too strong for me.
lemah	weak	adjective	Sinyalnya lemah di dalam rumah.	The signal is weak inside the house.
berat	heavy	adjective	Tasnya berat, biar saya yang bawa.	The bag is heavy; let me carry it.
ringan	light (weight)	adjective	Kopernya ringan walaupun besar.	The suitcase is light even though it's big.
baru	new	adjective	Dia beli sepatu baru kemarin.	He bought new shoes yesterday.
lama	old (things), long time	adjective	Saya sudah lama tidak ketemu dia.	I haven't seen him in a long time.
tua	old (people)	adjective	Nenek saya sudah tua, tapi masih kuat jalan.	My grandmother is old already, but she can still walk well.
muda	young	adjective	Dia masih muda, baru dua puluh tahun.	He's still young, only twenty.
awal	early	adjective	Kita berangkat lebih awal biar tidak macet.	Let's leave earlier so we don't get stuck in traffic.
terlambat	late	adjective	Maaf, saya terlambat karena hujan.	Sorry, I'm late because of the rain.
sering	often	adjective	Dia sering telepon ibunya.	He often calls his mother.
jarang	rarely / seldom	adjective	Saya jarang makan di luar.	I rarely eat out.
kadang-kadang	sometimes	adjective	Kadang-kadang saya masak sendiri.	Sometimes I cook for myself.
selalu	always	adjective	Dia selalu bangun jam lima pagi.	She always gets up at five in the morning.
putih	white	adjective	Kemejanya putih bersih.	His shirt is spotless white.
hitam	black	adjective	Saya suka kopi hitam tanpa gula.	I like black coffee without sugar.
merah	red	adjective	Lampunya masih merah, jangan jalan dulu.	The light is still red; don't go yet.
biru	blue	adjective	Langitnya biru sekali hari ini.	The sky is so blue today.
hijau	green	adjective	Sayurnya masih hijau dan segar.	The vegetables are still green and fresh.
kuning	yellow	adjective	Pisangnya sudah kuning, berarti sudah matang.	The banana is yellow now, which means it's ripe.
coklat	brown	adjective	Tasnya coklat, terbuat dari kulit.	The bag is brown, made of leather.
abu-abu	gray	adjective	Langitnya abu-abu, sepertinya mau hujan.	The sky is gray; it looks like it's going to rain.
oranye	orange	adjective	Dia pakai baju oranye biar gampang dilihat.	He's wearing an orange shirt so he's easy to spot.
ungu	purple	adjective	Bunga ungu itu bagus sekali.	Those purple flowers are really pretty.
merah muda	pink	adjective	Adik saya suka warna merah muda.	My little sister likes the color pink.
keras	hard	adjective	Rotinya sudah keras, tidak enak lagi.	The bread has gone hard; it isn't good anymore.
lembut	soft	adjective	Suaranya lembut kalau bicara sama anak kecil.	Her voice is gentle when she talks to little kids.
kering	dry	adjective	Bajunya sudah kering, bisa diangkat.	The clothes are dry; they can be taken in.
basah	wet	adjective	Sepatu saya basah kena hujan.	My shoes got wet in the rain.
dingin	cold	adjective	Airnya dingin sekali pagi ini.	The water is really cold this morning.
panas	hot	adjective	Hati-hati, tehnya masih panas.	Careful, the tea is still hot.
gelap	dark	adjective	Di luar sudah gelap, ayo pulang.	It's dark outside already; let's go home.
terang	bright / light	adjective	Kamarnya terang karena jendelanya besar.	The room is bright because the windows are big.
bising	noisy	adjective	Di sini bising sekali, susah dengar.	It's really noisy here; it's hard to hear.
tenang	calm / quiet	adjective	Kampung ini tenang, tidak ramai.	This village is quiet, not busy.
bersih	clean	adjective	Dapurnya sudah bersih, tadi saya cuci semua.	The kitchen is clean; I washed everything earlier.
kotor	dirty	adjective	Tangannya kotor, cuci dulu sebelum makan.	Your hands are dirty; wash them before you eat.
asin	salty	adjective	Sopnya terlalu asin.	The soup is too salty.
asam	sour	adjective	Jeruk ini asam sekali.	This orange is really sour.
pahit	bitter	adjective	Obatnya pahit, tapi harus diminum.	The medicine is bitter, but you have to take it.
pedas	spicy	adjective	Sambalnya pedas banget!	The sambal is super spicy!
hambar	bland	adjective	Masakannya hambar, kurang garam.	The dish is bland; it needs more salt.
segar	fresh	adjective	Ikannya masih segar, baru dari laut.	The fish is still fresh, straight from the sea.
busuk	rotten	adjective	Buahnya sudah busuk, buang saja.	The fruit has gone rotten; just throw it out.
lezat	delicious	adjective	Masakan ibu saya paling lezat.	My mother's cooking is the most delicious.
baik	good	adjective	Dia orang baik, suka menolong.	He's a good person; he likes to help.
buruk	bad	adjective	Cuacanya buruk, jadi kami batal pergi.	The weather is bad, so we called off going out.
jelek	bad / ugly	adjective	Tulisan saya jelek, susah dibaca.	My handwriting is bad, hard to read.
bagus	good / nice / great	adjective	Fotonya bagus sekali!	That photo is really nice!
sulit	difficult	adjective	Soal ini sulit, saya tidak bisa jawab.	This question is difficult; I can't answer it.
mudah	easy	adjective	Resep ini mudah, cuma lima bahan.	This recipe is easy, only five ingredients.
susah	difficult (informal)	adjective	Susah cari parkir di sini.	It's hard to find parking here.
gampang	easy (informal)	adjective	Gampang kok, nanti saya ajari.	It's easy, really; I'll show you later.
mahal	expensive	adjective	Tiketnya mahal kalau beli mendadak.	The tickets are expensive if you buy at the last minute.
murah	cheap	adjective	Di pasar lebih murah daripada di mal.	It's cheaper at the market than at the mall.
penting	important	adjective	Ini penting, jangan sampai lupa.	This is important; don't forget it.
menarik	interesting	adjective	Ceritanya menarik, saya mau dengar lagi.	The story is interesting; I want to hear more.
membosankan	boring	adjective	Filmnya membosankan, saya sampai ketiduran.	The movie was boring; I even fell asleep.
senang	happy	adjective	Saya senang kamu bisa datang.	I'm glad you could come.
bahagia	happy (deeper feeling)	adjective	Mereka kelihatan bahagia di hari pernikahannya.	They looked happy on their wedding day.
marah	angry	adjective	Ibu marah karena kamarnya berantakan.	Mom is angry because the room is a mess.
kecewa	disappointed	adjective	Saya kecewa karena dia tidak datang.	I'm disappointed because he didn't come.
malu	shy / embarrassed	adjective	Dia malu kalau disuruh nyanyi di depan orang.	He gets embarrassed when he's told to sing in front of people.
lucu	funny / cute	adjective	Anaknya lucu sekali.	Her kid is so cute.
ramah	friendly	adjective	Orang di sini ramah semua.	Everyone here is friendly.
kasar	rude / rough	adjective	Jangan bicara kasar sama orang tua.	Don't speak rudely to your elders.
sopan	polite	adjective	Dia anak yang sopan sama siapa saja.	He's a kid who's polite to everyone.
serius	serious	adjective	Kamu serius mau pindah ke Jakarta?	Are you serious about moving to Jakarta?
santai	relaxed / chill	adjective	Hari ini santai saja, tidak ada acara.	Today's relaxed; there's nothing on.
benar	correct / right	adjective	Jawabannya benar semua.	All the answers are correct.
salah	wrong; to be wrong / make a mistake	adjective,verb,state	Maaf, saya salah alamat.	Sorry, I've got the wrong address.
khusus	special	adjective	Ini menu khusus hari Minggu.	This is a special Sunday menu.
sederhana	simple	adjective	Rumahnya sederhana tapi nyaman.	Their house is simple but comfortable.
rumit	complicated	adjective	Urusannya rumit, banyak syaratnya.	The process is complicated; there are a lot of requirements.
aman	safe	adjective	Simpan di sini saja, lebih aman.	Just keep it here; it's safer.
berbahaya	dangerous	adjective	Jalan itu berbahaya kalau malam.	That road is dangerous at night.
resmi	official / formal	adjective	Suratnya resmi, ada tanda tangannya.	The letter is official; it has a signature.
