pasar	market	places	Pasarnya ramai kalau pagi.	The market is busy in the morning.
toko	shop / store	places	Tokonya tutup hari Minggu.	The shop is closed on Sundays.
mal	shopping mall	places	Kita ketemu di mal saja.	Let's just meet at the mall.
bank	bank	places	Banknya buka jam delapan.	The bank opens at eight.
kantor	office	places	Kantornya dekat stasiun.	The office is near the station.
sekolah	school	places	Sekolahnya masuk jam tujuh.	School starts at seven.
masjid	mosque	places	Masjidnya di ujung jalan.	The mosque is at the end of the street.
gereja	church	places	Gerejanya ramai hari Minggu.	The church is busy on Sundays.
pura	Balinese Hindu temple	places	Kami mampir ke pura dulu.	We stopped by the temple first.
kampung	home village / neighbourhood	places	Dia pulang ke kampung tiap lebaran.	He goes back to his village every Lebaran.
kota	city / town	places	Kotanya makin macet.	The city is getting more and more congested.
desa	village	places	Di desa udaranya masih segar.	Out in the village the air is still fresh.
jalan raya	main road	places	Jalan raya di depan selalu macet.	The main road out front is always jammed.
lampu merah	traffic light	places	Belok kiri sebelum lampu merah.	Turn left before the traffic light.
perempatan	crossroads / intersection	places	Rumahnya dekat perempatan.	His house is near the intersection.
stasiun	train station	places	Kita turun di stasiun berikutnya.	We get off at the next station.
terminal	bus terminal	places	Busnya berangkat dari terminal.	The bus leaves from the terminal.
bandara	airport	places	Saya jemput dia di bandara.	I'm picking him up at the airport.
pelabuhan	port / harbour	places	Kapalnya sandar di pelabuhan.	The ship docks at the port.
motor	motorbike	transport	Motornya lagi di bengkel.	The motorbike is at the workshop.
mobil	car	transport	Mobilnya diparkir di depan.	The car is parked out front.
bus	bus	transport	Busnya datang tiap setengah jam.	The bus comes every half hour.
kereta	train	transport	Keretanya penuh sekali tadi.	The train was really full earlier.
kapal	ship / boat	transport	Kapalnya berangkat jam enam pagi.	The boat leaves at six in the morning.
pesawat	aeroplane	transport	Pesawatnya delay dua jam.	The plane was delayed two hours.
ojek	motorbike taxi	transport	Saya naik ojek saja biar cepat.	I'll just take an ojek so it's quick.
becak	pedicab, three-wheeled rickshaw	transport	Naik becak keliling kota itu asyik.	Riding a becak around town is fun.
angkot	shared minibus	transport	Angkotnya lewat depan rumah.	The minibus goes past the house.
taksi	taxi	transport	Pesan taksi lewat aplikasi saja.	Just order a taxi through the app.
sepeda	bicycle	transport	Anak-anak main sepeda di gang.	The kids ride bikes in the alley.
macet	traffic jam / stuck	transport	Macetnya parah sore ini.	The traffic is terrible this afternoon.
parkir	to park / parking	transport	Parkirnya di belakang gedung.	Parking is behind the building.
bengkel	repair shop / garage	transport	Motornya masuk bengkel dua hari.	The motorbike is in the shop for two days.
alamat	address	places	Alamatnya saya kirim lewat WhatsApp.	I'll send the address on WhatsApp.
peta	map	places	Coba lihat peta di HP.	Have a look at the map on your phone.
dekat	near / close	places	Rumahnya dekat dari sini.	His house is close to here.
jauh	far	places	Jauh nggak dari sini?	Is it far from here?
kiri	left	places	Belok di gang kiri.	Turn into the alley on the left.
sebelah	next to / the side	places	Warungnya di sebelah masjid.	The warung is next to the mosque.
belakang	behind / the back	places	Dapurnya ada di belakang.	The kitchen is at the back.
atas	above / upstairs	places	Tasnya di atas lemari.	The bag is on top of the wardrobe.
bawah	below / under	places	Sandalnya di bawah meja.	The sandals are under the table.
dalam	inside / deep	places	Uangnya di dalam dompet.	The money is inside the wallet.
luar	outside	places	Dia menunggu di luar.	He's waiting outside.
antara	between	places	Warungnya antara masjid dan sekolah.	The warung is between the mosque and the school.
berangkat	to depart / set off	transport	Kami berangkat jam lima pagi.	We set off at five in the morning.
tiba	to arrive	transport	Mereka tiba tadi malam.	They arrived last night.
tersesat	lost, having lost the way	transport	Kami sempat tersesat di jalan.	We got lost on the way for a bit.
