Senin	Monday	calendar	Rapatnya hari Senin pagi.	The meeting is on Monday morning.
Selasa	Tuesday	calendar	Dia datang hari Selasa depan.	He's coming next Tuesday.
Rabu	Wednesday	calendar	Setiap Rabu ada pasar malam.	Every Wednesday there's a night market.
Kamis	Thursday	calendar	Kamis ini saya libur.	I'm off this Thursday.
Jumat	Friday	calendar	Jumat siang bapak-bapak salat di masjid.	On Friday midday the men pray at the mosque.
Sabtu	Saturday	calendar	Sabtu kita ke pantai, yuk.	Let's go to the beach on Saturday.
Minggu	Sunday; also "week"	calendar	Hari Minggu kami di rumah saja.	On Sunday we just stay home.
minggu depan	next week	calendar	Minggu depan saya ke Jakarta.	Next week I'm going to Jakarta.
minggu lalu	last week	calendar	Minggu lalu dia sakit.	Last week he was ill.
tahun	year	calendar	Sudah tiga tahun saya di sini.	I've been here three years now.
tahun depan	next year	calendar	Tahun depan mereka menikah.	Next year they're getting married.
tahun lalu	last year	calendar	Tahun lalu kami ke Lombok.	Last year we went to Lombok.
kemarin	yesterday	calendar	Kemarin hujan seharian.	Yesterday it rained all day.
lusa	the day after tomorrow	calendar	Dia berangkat lusa pagi.	He leaves the morning after tomorrow.
kemarin dulu	the day before yesterday	calendar	Kemarin dulu saya ketemu dia di pasar.	The day before yesterday I ran into him at the market.
hari ini	today	calendar	Hari ini saya tidak ke kantor.	I'm not going to the office today.
pagi	morning	calendar	Saya olahraga tiap pagi.	I exercise every morning.
siang	midday / early afternoon	calendar	Makan siang jam berapa?	What time is lunch?
sore	late afternoon / early evening	calendar	Sore nanti kita jalan-jalan.	This afternoon we'll go out for a walk.
malam	night	calendar	Malam ini dingin sekali.	It's really cold tonight.
subuh	dawn, before sunrise	calendar	Dia bangun subuh untuk salat.	He gets up at dawn to pray.
tengah malam	midnight	calendar	Keretanya sampai tengah malam.	The train arrives at midnight.
akhir pekan	weekend	calendar	Akhir pekan ini kami ke rumah nenek.	This weekend we're going to Grandma's.
setiap hari	every day	calendar	Dia lari setiap hari.	He runs every day.
seminggu sekali	once a week	calendar	Arisannya seminggu sekali.	The arisan is once a week.
Januari	January	calendar	Musim hujan biasanya sampai Januari.	The rainy season usually lasts until January.
Februari	February	calendar	Februari cuma dua puluh delapan hari.	February has only twenty-eight days.
Maret	March	calendar	Anak saya lahir bulan Maret.	My child was born in March.
April	April	calendar	April biasanya masih sering hujan.	In April it still rains often.
Mei	May	calendar	Mei ini kami pindah rumah.	This May we're moving house.
Juni	June	calendar	Sekolah libur mulai bulan Juni.	School holidays start in June.
September	September	calendar	September nanti dia mulai kuliah.	This September he starts university.
Oktober	October	calendar	Oktober cuacanya mulai panas.	In October the weather starts getting hot.
November	November	calendar	November biasanya mulai musim hujan.	November is usually when the rainy season starts.
Desember	December	calendar	Desember biasanya hujan terus.	In December it usually rains constantly.
jam berapa	what time	calendar	Jam berapa kita berangkat?	What time do we leave?
kapan	when	calendar	Kapan kamu pulang?	When are you coming back?
menit	minute	calendar	Tunggu lima menit lagi.	Wait another five minutes.
detik	second	calendar	Tinggal beberapa detik lagi.	Only a few seconds left.
